ID,RA,DEC,X,Y,FLUX_AUTO
1,248.9784440,-11.6302604,18.8311,16.3869,25152.15
2,248.9802512,-11.6320610,5.1022,30.7796,10700.34
3,248.9346667,-11.6334140,356.8722,36.2388,33997.35
4,248.9456037,-11.6305244,272.1748,14.7165,4959.388
5,248.9649993,-11.6300924,122.5167,13.5243,4293.697
6,248.9267965,-11.6299793,417.1809,8.2883,5174.949
7,248.9346446,-11.6297682,356.6203,7.5144,7374.563
8,248.8991348,-11.6297290,630.5220,3.1942,15608.41
9,248.8504016,-11.6304593,1006.5101,3.4982,1296.958
10,248.9767785,-11.6287902,31.5061,4.6134,18734.2
11,248.9006578,-11.6294818,618.7458,1.4186,1969.908
12,248.9135145,-11.7547206,534.0016,989.5039,3573.528
13,248.9749642,-11.7564133,60.4202,1009.8234,-2214.604
14,248.9770910,-11.7541100,43.7536,991.9216,28958.77
15,248.9799304,-11.7531373,21.7474,984.5839,38706.14
16,248.9817175,-11.7566342,8.3784,1012.3380,209259.8
17,248.8889772,-11.7529760,722.9858,972.9998,3190.127
18,248.8980144,-11.7528023,653.2885,972.6456,3278.958
19,248.9022985,-11.7528648,620.2641,973.6198,8335.832
20,248.9522731,-11.7512129,234.7641,966.2637,7664.774
21,248.9002266,-11.7507556,635.9966,956.7708,15514.14
22,248.8520366,-11.7504850,1007.5193,949.2512,5702.516
23,248.9249586,-11.7490538,445.1126,946.1537,16415.29
24,248.9261097,-11.7487435,436.2014,943.8394,14087.67
25,248.8652409,-11.7551526,906.2435,987.4927,7249.923
26,248.9174211,-11.7499436,503.3311,952.3113,2088.248
27,248.9330454,-11.7540820,383.3436,986.6813,1865.926
28,248.9131089,-11.7478071,536.3331,934.9935,1837.762
29,248.9403300,-11.7468492,326.3409,930.5276,22639.65
30,248.8660057,-11.7474185,899.4656,926.6484,1260.294
31,248.8976368,-11.7458983,655.4072,918.2136,3435.528
32,248.9250441,-11.7450732,443.9933,914.8037,4162.431
33,248.8679137,-11.7453439,884.5183,910.5170,1448.805
34,248.8557679,-11.7436771,977.9771,896.0330,1154.415
35,248.9511267,-11.7422775,242.5638,895.7398,2601.687
36,248.8749877,-11.7426817,829.6717,890.3340,1098.319
37,248.9686895,-11.7411856,107.0204,889.1411,6060.249
38,248.9664802,-11.7410979,124.0454,888.1976,4275.328
39,248.9239409,-11.7413510,452.0702,885.3557,8532.314
40,248.9532917,-11.7407152,225.6893,883.6783,1865.408
41,248.9625752,-11.7396066,153.9802,876.0034,1329.486
42,248.9822998,-11.7383204,1.7440,868.1281,8227.148
43,248.9161370,-11.7392600,512.0000,868.0004,2215.168
44,248.8542503,-11.7393928,989.1915,862.1122,5117.4
45,248.9579268,-11.7379150,189.6246,862.1466,1327.881
46,248.9267144,-11.7383056,430.3333,861.6771,1238.252
47,248.8997260,-11.7382497,638.4205,858.1923,8067.83
48,248.9708048,-11.7372007,90.2457,857.9897,1076.705
49,248.9823084,-11.7367775,1.4971,855.9737,7484.801
50,248.8582219,-11.7371563,958.3146,844.9350,27110.19
51,248.8577442,-11.7359977,961.8666,835.7540,68722.43
52,248.8934198,-11.7367499,686.8732,845.6679,6024.264
53,248.9215425,-11.7354063,469.8763,838.2516,5385.442
54,248.9352683,-11.7350269,363.9984,836.8171,4921.032
55,248.9014608,-11.7349830,624.6690,832.6522,1454.059
56,248.9821351,-11.7329993,2.3909,826.1896,7290.959
57,248.8721036,-11.7370792,851.2702,845.8750,19584.48
58,248.8975996,-11.7345251,654.3890,828.6103,3276.883
